Common name;Scientific name;Power text;PT Suomeksi
Australasian Pipit;Anthus novaeseelandiae;Tuck 1 [card] from the deck behind each bird in your [grassland], including this one.;Työnnä 1 [kortti] pakasta jokaisen [peltomaalla] olevan linnun taakse, mukaan lukien tämä.
Australasian Shoveler;Spatula rhynchotis;Choose 1 other player. You both draw 1 [card] from the deck.;Valitse 1 muu pelaaja. Nostatte molemmat 1 [kortin] pakasta.
Australian Ibis;Threskiornis moluccus;Shuffle the discard pile, then draw 2 [card] from it. Choose 1 and tuck it behind this bird or add it to your hand. Discard the other.;Sekoita poistopakka ja vedä siitä 2 [korttia]. Valitse 1 ja työnnä se tämän linnun taakse tai lisää se käteesi. Hävitä toinen.
Australian Magpie;Gymnorhina tibicen;Discard 1 [egg] from each bird in this row and column that has an [egg] on it, excluding this bird. For each discarded [egg], cache 2 [seed] from the supply on this bird.;Hävitä 1 [muna] jokaisesta tämän rivin ja sarakkeen linnusta, jolla on [muna], tätä lintua lukuun ottamatta. Säilytä 2 [siementä] jokaista hylättyä [munaa] kohden tämän linnun päällä.
Australian Owlet-Nightjar;Aegotheles cristatus;"When another player takes the ""gain food"" action, gain 1 [invertebrate] from the birdfeeder, if there is one, at the end of their turn.";"Kun toinen pelaaja käyttää ""hanki ruokaa"" -toiminnon, saat 1 [ötökkä] linnunruokintalaitteesta, jos sellainen on, hänen vuoronsa lopussa."
Australian Raven;Corvus coronoides;Cache up to 5 [wild] from your supply on this bird.;Varastoi jopa 5 [valinnaista] varastostasi tälle linnulle.
Australian Reed Warbler;Acrocephalus australis;Play another bird in your wetland. Pay its normal cost with a 1 [egg] discount.;Pelaa toista lintua kosteikkoalueellasi. Maksa sen normaali hinta 1 [munan] alennuksella.
Australian Shelduck;Tadorna tadornoides;Draw 1 face-up [card] from the tray with a [cavity] or [star] nest. You may reset or refill the tray before doing so.;Nosta 1 kuvapuoli ylöspäin [kortti] alustalta, jossa on [kolo] tai [tähti]. Voit nollata tai täyttää alustan ennen kuin teet niin.
Australian Zebra Finch;Taeniopygia castanotis;If the player to your right has a [seed] in their personal supply, tuck a [card] from the deck behind this bird.;Jos oikealla olevalla pelaajalla on [siemen] henkilökohtaisessa varastossaan, työnnä [kortti] pakasta tämän linnun taakse.
Baird's Sparrow;Ammodramus bairdii;Lay 1 [egg] on any bird.;Muni 1 [muna] mille tahansa linnulle.
Bald Eagle;Haliaeetus leucocephalus;Gain all [fish] that are in the birdfeeder.;Ota kaikki [kalat], jotka ovat lintujen ruokintalaitteessa.
Baltimore Oriole;Icterus galbula;All players gain 1 [fruit] from the supply.;Kaikki pelaajat saavat 1 [hedelmä] tarjonnasta.
Barn Owl;Tyto alba;Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.;Pyöritä kaikkia noppia, jotka eivät ole linnunsyöttölaitteessa. Jos joku on [jyrsijä], varastoi 1 [jyrsijä] tämän linnun päälle.
Barn Swallow;Hirundo rustica;Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, nosta 1 [kortti].
Barred Owl;Strix varia;Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.;Katso päälimmäistä [korttia] pakasta. Jos siipiväli alle 75 cm, työnnä se tämän linnun taakse. Jos ei, hävitä se.
Barrow's Goldeneye;Bucephala islandica;"When another player takes the ""lay eggs"" action, lay 1 [egg] on another bird with a [cavity] nest.";"Kun toinen pelaaja toteuttaa ""munimis"" -toiminnon, muni 1 [muna] toiselle linnulle, jolla on [kolo]-pesä."
Bell's Vireo;Vireo bellii;Draw 2 new bonus cards and keep 1.;Nosta 2 uutta bonuskorttia ja pidä 1.
Belted Kingfisher;Megaceryle alcyon;When another player plays a bird in their [wetland], gain 1 [fish] from the supply.;Kun toinen pelaaja pelaa lintua omalla [kosteikolla], saa 1 [kala] tarjonnasta.
Bewick's Wren;Thryomanes bewickii;If this bird is to the right of all other birds in its habitat, move it to another habitat.;Jos tämä lintu on kaikkien muiden lintujen oikealla puolella sen elinympäristössä, siirrä se toiseen elinympäristöön.
Black Noddy;Anous minutus;Reset the birdfeeder and gain all [fish], if there are any. You may discard any of these [fish] to tuck that many [card] from the deck behind this bird instead.;Nollaa lintujensyöttölaite ja ota kaikki [kalat], jos niitä on. Voit hylätä kuinka monta tahansa näistä [kaloista] työntääksesi yhtä monta [korttia] pakasta tämän linnun taakse.
Black Redstart;Phoenicurus ochruros;Choose a habitat with no [egg]. Lay 1 [egg] on each bird in that habitat.;Valitse elinympäristö, jossa ei ole [munia]. Muni 1 [muna] jokaiselle kyseisessä elinympäristössä olevalle linnulle.
Black Skimmer;Rynchops niger;Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.;Heitä kaikkia noppia, jotka eivät ole linnunsyöttölaitteessa. Jos ne ovat [kaloja], säilytä 1 [kala] tämän linnun päällä.
Black Swan;Cygnus atratus;Lay 1 [egg] on each of your birds with a wingspan over 100cm, including this one.;Muni 1 [muna] jokaiselle linnullesi, jonka siipien kärkiväli on yli 100 cm, tämä mukaan lukien.
Black Tern;Chlidonias niger;Draw 1 [card]. If you do, discard 1 [card] from your hand at the end of your turn.;Nosta 1 [kortti]. Jos teet niin, hävitä 1 [kortti] kädestäsi vuorosi lopussa.
Black Vulture;Coragyps atratus;When another player's [predator] succeeds, gain 1 [die] from the birdfeeder.;Kun toisen pelaajan [petoeläin] onnistuu, saa 1 [noppa] linnunruokintalaitteesta.
Black Woodpecker;Dryocopus martius;Gain all [invertebrate] that are in the birdfeeder.;Hanki kaikki [ötökät], jotka ovat lintujen ruokintalaitteessa.
Black-Bellied Whistling-Duck;Dendrocygna autumnalis;Discard 1 [seed] to tuck 2 [card] from the deck behind this bird.;Hävitä 1 [siemen] ja työnnä 2 [korttia] pakasta tämän linnun taakse.
Black-Billed Magpie;Pica hudsonia;When another player's [predator] succeeds, gain 1 [die] from the birdfeeder.;Kun toisen pelaajan [petoeläin] onnistuu, saa 1 [noppa] linnunruokintalaitteesta.
Black-Chinned Hummingbird;Archilochus alexandri;All players gain 1 [fruit] from the supply.;Kaikki pelaajat saavat 1 [hedelmä] tarjonnasta.
Black-Crowned Night-Heron;Nycticorax nycticorax;Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.;Hävitä 1 [muna] mistä tahansa muista linnuistasi saadaksesi 1 [valinnainen] tarjonnasta.
Black-Headed Gull;Chroicocephalus ridibundus;Steal 1 [wild] from another player's supply and add it to your own supply. They gain 1 [die] from the birdfeeder.;Varasta 1 [valinnainen] toisen pelaajan varastosta ja lisää se omaan varastoosi. He saavat 1 [nopan] lintujen ruokintakoneesta.
Black-Necked Stilt;Himantopus mexicanus;Draw 2 [card].;Nosta 2 [kortti].
Black-Shouldered Kite;Elanus axillaris;"Reset the birdfeeder and gain 1 [rodent], if there is one. You may give it to another player; if you do, lay up to 3 [egg] on this bird.";"Nollaa lintusyöttölaite ja saa 1 [jyrsijä], jos sellainen on. Voit antaa sen toiselle pelaajalle; jos teet niin, muni enintään 3 [munaa] tälle linnulle."
Black-Tailed Godwit;Limosa limosa;Draw 1 new bonus card. Then draw 3 [card] and keep 1 of them.;Nosta 1 uusi bonuskortti. Nosta sitten 3 [korttia] ja pidä niistä yksi.
Black-Throated Diver;Gavia arctica;Discard all remaining face-up [card] and refill the tray. If you do, draw 1 of the new face-up [card].;Hävitä kaikki jäljellä oleva kuvapuoli ylöspäin [kortti] ja täytä asetin uudelleen. Jos teet niin, nosta yksi uusista kuvapuoli ylöspäin [kortista].
Blue Grosbeak;Passerina caerulea;If this bird is to the right of all other birds in its habitat, move it to another habitat.;Jos tämä lintu on kaikkien muiden lintujen oikealla puolella sen elinympäristössä, siirrä se toiseen elinympäristöön.
Blue Jay;Cyanocitta cristata;Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.;Hanki 1 [siemen] lintujenruokintalaitteesta, jos saatavilla. Voit varastoida sen tälle linnulle.
Blue-Gray Gnatcatcher;Polioptila caerulea;Gain 1 [invertebrate] from the supply.;Hanki 1 [ötökkä] tarjonnasta.
Blue-Winged Warbler;Vermivora cyanoptera;;-
Bluethroat;Luscinia svecica;Choose a food type. All players gain 1 of that food from the supply.;Valitse ruokalaji. Kaikki pelaajat saavat 1 ruoasta tarjonnasta.
Blyth's Hornbill;Rhyticeros plicatus;Discard all [egg] from 1 of your birds with a [cavity] nest. Tuck twice that many [card] from the deck behind this bird.;Hävitä kaikki [munat] yhdeltä linnustasi, jolla on [kolo] pesä. Työnnä kaksi kertaa enemmän [korttia] pakasta tämän linnun taakse.
Bobolink;Dolichonyx oryzivorus;Lay 1 [egg] on each of your birds with a [ground] nest.;Muni 1 [muna] jokaiselle linnullesi, jolla on [maa]pesä.
Bonelli's Eagle;Aquila fasciata;For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.;Jokaista tämän linnun hinnassa olevaa [jyrsijää] kohden voit sen sijaan maksaa 1 [kortin] kädestäsi. Jos teet niin, työnnä maksettu [kortti] tämän kortin taakse.
Brant;Branta bernicla;Draw the 3 face-up [card] in the bird tray.;Nosta 3 kuvapuoli ylöspäin [korttia] lintutarjottimelta.
Brewer's Blackbird;Euphagus cyanocephalus;Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, voit myös munia 1 [munan] tälle linnulle.
Broad-Winged Hawk;Buteo platypterus;Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.;Heitä kaikkia noppaa, jotka eivät ole linnunsyöttölaitteessa. Jos joku on [jyrsijä], varastoi 1 [jyrsijä] tämän linnun varastoon.
Brolga;Antigone rubicunda;"Choose 1 other player. They lay 1 [egg]; you draw 2 [card].";"Valitse 1 muu pelaaja. He munivat 1 [munan]; nostat 2 [kortti]."
Bronzed Cowbird;Molothrus aeneus;"When another player takes the ""lay eggs"" action, lay 1 [egg] on a bird with a [bowl] nest.";"Kun toinen pelaaja tekee ""muninta"" -toiminnon, muni 1 [muna] linnulle, jolla on [kulho]pesä."
Brown Falcon;Falco berigora;Look at a [card] from the deck. If its food cost includes an [invertebrate] or a [rodent], tuck it behind this bird. If not, discard it.;Katso [korttia] pakasta. Jos sen ruokahintaan sisältyy [ötökkä] tai [jyrsijä], työnnä se tämän linnun taakse. Jos ei, hävitä se.
Brown Pelican;Pelecanus occidentalis;Gain 3 [fish] from the supply.;Hanki 3 [kalaa] tarjonnasta.
Brown-Headed Cowbird;Molothrus ater;"When another player takes the ""lay eggs"" action, lay 1 [egg] on a bird with a [bowl] nest.";"Kun toinen pelaaja tekee ""muninta"" -toiminnon, muni 1 [muna] linnulle, jolla on [kulho]pesä."
Budgerigar;Melopsittacus undulatus;Tuck the smallest bird in the tray behind this bird.;Työnnä pienin lintu tarjottimella tämän linnun taakse.
Bullfinch;Pyrrhula pyrrhula;Reset the birdfeeder. If you do, gain 1 [seed] or 1 [fruit] from the birdfeeder after resetting.;Nollaa lintujen syöttölaite. Jos teet niin, ota lintujensyöttölaitteesta 1 [siemen] tai 1 [hedelmä] nollauksen jälkeen.
Burrowing Owl;Athene cunicularia;Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.;Heitä kaikkia noppaa, jotka eivät ole linnunsyöttölaitteessa. Jos joku on [jyrsijä], varastoi 1 [jyrsijä] tämän linnun varastoon.
Bushtit;Psaltriparus minimus;Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, voit myös munia 1 [munan] tälle linnulle.
California Condor;Gymnogyps californianus;Draw 2 new bonus cards and keep 1.;Nosta 2 uutta bonuskorttia ja pidä 1.
California Quail;Callipepla californica;Lay 1 [egg] on this bird.;Muni 1 [muna] tälle linnulle.
Canada Goose;Branta canadensis;Discard 1 [seed] to tuck 2 [card] from the deck behind this bird.;Hävitä 1 [siemen] ja työnnä 2 [korttia] pakasta tämän linnun taakse.
Canvasback;Aythya valisineria;All players draw 1 [card] from the deck.;Kaikki pelaajat nostavat 1 [kortin] pakasta.
Carolina Chickadee;Poecile carolinensis;Cache 1 [seed] from the supply on this bird.;Varastoi 1 [siemen] tämän linnun päälle.
Carolina Wren;Thryothorus ludovicianus;Draw 2 [card].;Nosta 2 [kortti].
Carrion Crow;Corvus corone;Choose any 1 player (including yourself). Cache 1 [rodent] from the supply on this bird for each [predator] that player has.;Valitse yksi pelaaja (mukaan lukien itsesi). Tallenna tämän linnun päälle 1 [jyrsijä] jokaista pelaajalla olevaa [petoeläintä] kohti.
Cassin's Finch;Haemorhous cassinii;Draw 2 new bonus cards and keep 1.;Nosta 2 uutta bonuskorttia ja pidä 1.
Cassin's Sparrow;Peucaea cassinii;Lay 1 [egg] on any bird.;Muni 1 [muna] mille tahansa linnulle.
Cedar Waxwing;Bombycilla cedrorum;Tuck 1 [card] from your hand behind this bird. If you do, gain 1 [fruit] from the supply.;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, hanki 1 [hedelmä] tarjonnasta.
Cerulean Warbler;Setophaga cerulea;Draw 2 new bonus cards and keep 1.;Nosta 2 uutta bonuskorttia ja pidä 1.
Cetti's Warbler;Cettia cetti;This bird counts double toward the end-of-round goal, if it qualifies for the goal.;Tämä lintu lasketaan kaksinkertaisesti kierroksen lopun maaliin, jos se pätee maaliin.
Chestnut-Collared Longspur;Calcarius ornatus;Draw 2 new bonus cards and keep 1.;Nosta 2 uutta bonuskorttia ja pidä 1.
Chihuahuan Raven;Corvus cryptoleucus;Discard 1 [egg] from any of your other birds to gain 2 [wild] from the supply.;Hävitä 1 [muna] mistä tahansa muista linnuistasi saadaksesi 2 [vapaavalintaista] tarjonnasta.
Chimney Swift;Chaetura pelagica;If this bird is to the right of all other birds in its habitat, move it to another habitat.;Jos tämä lintu on kaikkien muiden lintujen oikealla puolella sen elinympäristössä, siirrä se toiseen elinympäristöön.
Chipping Sparrow;Spizella passerina;Lay 1 [egg] on any bird.;Muni 1 [muna] mille tahansa linnulle.
Clark's Grebe;Aechmophorus clarkii;Draw 1 [card]. If you do, discard 1 [card] from your hand at the end of your turn.;Nosta 1 [kortti]. Jos teet niin, hävitä 1 [kortti] kädestäsi vuorosi lopussa.
Clark's Nutcracker;Nucifraga columbiana;Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.;Hanki 1 [siemen] lintujenruokintalaitteesta, jos saatavilla. Voit tallentaa sen tälle linnulle.
Coal Tit;Periparus ater;Gain 1 [seed] from the supply and cache it on this card. At any time, you may spend [seed] cached on this card.;Hanki 1 [siemen] tarjonnasta ja tallenna se tälle kortille. Voit milloin tahansa kuluttaa [siemenen] tämän kortin varastosta.
Cockatiel;Nymphicus hollandicus;Discard 1 [seed] to choose a [card] from the tray and tuck it behind this bird.;Hävitä 1 [siemen] valitaksesi [kortti] alustalta ja työnnä se tämän linnun taakse.
Common Blackbird;Turdus merula;Place this bird sideways, so that it covers 2 [forest] spaces. Pay the lower egg cost.;Aseta tämä lintu sivuttain niin, että se peittää 2 [metsä] tilaa. Maksa alhaisemmat munakustannukset.
Common Buzzard;Buteo buteo;Instead of paying any costs, you may play this bird on top of another bird on your player mat. Discard any eggs and food from that bird. It becomes a tucked card.;Sen sijaan, että maksat mitään, voit pelata tätä lintua toisen linnun päällä pelaajamatollasi. Hävitä linnun munat ja ruoka. Siitä tulee piilotettu kortti.
Common Chaffinch;Fringilla coelebs;Choose 1-5 birds in this habitat. Tuck 1 [card] from your hand behind each.;Valitse tästä elinympäristöstä 1-5 lintua. Työnnä 1 [kortti] kädestäsi jokaisen taakse.
Common Chiffchaff;Phylloscopus collybita;Choose 1-5 birds in this habitat. Tuck 1 [card] from your hand behind each.;Valitse tästä elinympäristöstä 1-5 lintua. Työnnä 1 [kortti] kädestäsi jokaisen taakse.
Common Cuckoo;Cuculus canorus;"When another player takes the ""lay eggs"" action, this bird lays 1 [egg] on another bird with a [bowl] or [ground] nest.";"Kun toinen pelaaja tekee ""muninta"" toiminnon, tämä lintu munii 1 [munan] toiselle linnulle, jolla on [kulho] tai [maa]pesä."
Common Goldeneye;Bucephala clangula;Lay 1 [egg] on this bird for each other bird with a [cavity] nest that you have.;Muni 1 [muna] tälle linnulle jokaista toista lintuasi kohden, jolla on [kolo] pesä.
Common Grackle;Quiscalus quiscula;Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, voit myös munia 1 [munan] tälle linnulle.
Common Kingfisher;Alcedo atthis;Steal 1 [fish] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.;Varasta 1 [kala] toisen pelaajan varastosta ja tallenna se tälle linnulle. He saavat 1 [nopan] lintujen ruokintakoneesta.
Common Little Bittern;Ixobrychus minutus;Gain 1 face-up [card] that can live in [grassland].;Ansaitse yksi kuvapuoli ylöspäin [kortti], joka voi asua [pellolla].
Common Loon;Gavia immer;Player(s) with the fewest birds in their [wetland] draw 1 [card].;Pelaajat, joilla on vähiten lintuja [kosteikolla], nostavat yhden [kortin].
Common Merganser;Mergus merganser;Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.;Pyöritä kaikkia noppia, jotka eivät ole linnunsyöttölaitteessa. Jos ne ovat [kaloja], säilytä 1 [kala] tämän linnun varastossa.
Common Moorhen;Gallinula chloropus;Discard 1 [wild] from your supply. If you do, play another bird in your [wetland]. Pay its normal food and egg cost.;Hävitä 1 [valinnainen] varastostasi. Jos teet niin, pelaa toinen lintu [kosteikollasi]. Maksa normaalit ruoka- ja munakustannukset.
Common Nighthawk;Chordeiles minor;If this bird is to the right of all other birds in its habitat, move it to another habitat.;Jos tämä lintu on kaikkien muiden lintujen oikealla puolella sen elinympäristössä, siirrä se toiseen elinympäristöön.
Common Nightingale;Luscinia megarhynchos;Choose a food type. All players gain 1 of that food from the supply.;Valitse ruokalaji. Kaikki pelaajat saavat 1 ruoasta tarjonnasta.
Common Raven;Corvus corax;Discard 1 [egg] from any of your other birds to gain 2 [wild] from the supply.;Hävitä 1 [muna] mistä tahansa muista linnuistasi saadaksesi 2 [valinnaista] tarjonnasta.
Common Starling;Sturnus vulgaris;Discard up to 5 [wild] from your supply. For each, tuck 1 [card] from the deck behind this bird.;Hävitä jopa 5 [valinnaista] varastostasi. Työnnä jokaista kohden 1 [kortti] pakasta tämän linnun taakse.
Common Swift;Apus apus;Discard up to 5 [invertebrate] from your supply. For each, tuck 1 [card] from the deck behind this bird.;Hävitä jopa 5 [ötökkää] varusteistasi. Työnnä jokaista kohden 1 [kortti] pakasta tämän linnun taakse.
Common Yellowthroat;Geothlypis trichas;Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.;Nosta 2 [kortti]. Jos teet niin, hävitä 1 [kortti] kädestäsi vuorosi lopussa.
Cooper's Hawk;Accipiter cooperii;Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.;Katso [korttia] pakasta. Jos siipiväli on alle 75 cm, työnnä se tämän linnun taakse. Jos ei, hävitä se.
Corsican Nuthatch;Sitta whiteheadi;Draw 1 new bonus card. Then gain 1 [die] from the birdfeeder.;Nosta 1 uusi bonuskortti. Hanki sitten 1 [noppa] lintujen ruokintalaitteesta.
Count Raggi's Bird-of-Paradise;Paradisaea raggiana;Choose 1 other player. You both gain 1 [fruit] from the supply.;Valitse 1 muu pelaaja. Saatte molemmat 1 [hedelmä] tarjonnasta.
Crested Pigeon;Ocyphaps lophotes;Cache up to 8 [seed] from your supply on this bird.;Tallenna jopa 8 [siementä] varastostasi tälle linnulle.
Crimson Chat;Epthianura tricolor;Discard 1 [wild] to tuck 1 [card] from the deck behind this bird.;Hävitä 1 [valinnainen] ja työnnä 1 [kortti] pakasta tämän linnun taakse.
Dark-Eyed Junco;Junco hyemalis;Tuck 1 [card] from your hand behind this bird. If you do, gain 1 [seed] from the supply.;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, hanki 1 [siemen] tarjonnasta.
Dickcissel;Spiza americana;Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, voit myös munia 1 [munan] tälle linnulle.
Double-Crested Cormorant;Phalacrocorax auritus;Discard 1 [fish] to tuck 2 [card] from the deck behind this bird.;Hävitä 1 [kala] ja työnnä 2 [korttia] pakasta tämän linnun taakse.
Downy Woodpecker;Picoides pubescens;Play an additional bird in your [forest]. Pay its normal cost.;Pelaa ylimääräinen lintu [metsään]. Maksa sen normaali hinta.
Dunnock;Prunella modularis;Choose 1 other player. For each action cube on their [grassland], lay 1 [egg] on this bird.;Valitse 1 muu pelaaja. Muni 1 [muna] tälle linnulle jokaista toimintakuutiota kohden heidän [pellollaan].
Eastern Bluebird;Sialia sialis;Play an additional bird in your [grassland]. Pay its normal cost.;Pelaa ylimääräinen lintu [pellollesi]. Maksa sen normaali hinta.
Eastern Imperial Eagle;Aquila heliaca;For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.;Jokaista tämän linnun hinnassa olevaa [jyrsijää] kohden voit sen sijaan maksaa 1 [kortin] kädestäsi. Jos teet niin, työnnä maksettu [kortti] tämän kortin taakse.
Eastern Kingbird;Tyrannus tyrannus;When another player plays a bird in their [forest], gain 1 [invertebrate] from the supply.;Kun toinen pelaaja pelaa lintua hänen [metsässään], saa 1 [ötökän] tarjouksesta.
Eastern Phoebe;Sayornis phoebe;All players gain 1 [invertebrate] from the supply.;Kaikki pelaajat saavat 1 [ötökän] tarjouksesta.
Eastern Rosella;Platycercus eximius;All players gain 1 [nectar] from the supply. You also gain 1 [seed] from the supply.;Kaikki pelaajat saavat 1 [nektarin] tarjonnasta. Saat myös 1 [siemenen] tarjonnasta.
Eastern Screech-Owl;Megascops asio;Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.;Pyöritä kaikkia noppia, jotka eivät ole linnunsyöttölaitteessa. Jos joku on [jyrsijä], tallenna 1 [jyrsijä] tämän linnun päälle.
Eastern Whipbird;Psophodes olivaceus;Choose 1 other player. You both gain 1 [seed] from the supply.;Valitse 1 muu pelaaja. Saatte molemmat 1 [siemenen] tarjonnasta.
Eleonora's Falcon;Falco eleonorae;Roll all dice not in the birdfeeder. If any are [rodent], place 1 [egg] on this card.;Pyöritä kaikkia noppia, jotka eivät ole lintujenruokintakoneessa. Jos joku on [jyrsijä], aseta 1 [muna] tälle kortille.
Emu;Dromaius novaehollandiae;Gain all [seed] that are in the birdfeeder. Keep half (rounded up), then choose how to distribute the remainder among the other player(s).;Hanki kaikki [siemenet], jotka ovat lintujen ruokintalaitteessa. Säilytä puolet (pyöristettynä ylöspäin) ja valitse sitten, kuinka jaat loput muiden pelaajien kesken.
Eurasian Collared-Dove;Streptopelia decaocto;Discard up to 5 [wild] from your supply. For each, tuck 1 [card] from the deck behind this bird.;Hävitä jopa 5 [valinnaista] varastostasi. Työnnä jokaista kohden 1 [kortti] pakasta tämän linnun taakse.
Eurasian Golden Oriole;Oriolus oriolus;"When another player takes the ""gain food"" action, gain 1 [invertebrate] or [fruit] from the birdfeeder at the end of their turn.";"Kun toinen pelaaja ottaa ""hanki ruokaa"" -toiminnon, saa 1 [ötökkä] tai [hedelmä] linnunruokintalaitteesta vuoronsa lopussa."
Eurasian Green Woodpecker;Picus viridis;This bird counts double toward the end-of-round goal, if it qualifies for the goal.;Tämä lintu lasketaan kaksinkertaisesti kierroksen lopun maaliin, jos se pätee maaliin.
Eurasian Hobby;Falco subbuteo;Instead of paying any costs, you may play this bird on top of another bird on your player mat. Discard any eggs and food from that bird. It becomes a tucked card.;Sen sijaan, että maksat mitään, voit pelata tätä lintua toisen linnun päällä pelaajamatollasi. Hävitä linnun munat ja ruoka. Siitä tulee piilotettu kortti.
